#RET,Low,0.02,-0.2SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.06,+0.2SDs
#RET,Low,0.02,-0.2SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.04,-0.1SDs
#RET,Low,0.03,-0.1SDs
#RET,Low,0.04,0.0SDs
#RET,Low,0.06,+0.3SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.11,0.0SDs
#UNCLASS,Low,0.13,0.0SDs
#UNCLASS,Low,0.05,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.07,0.0SDs
#UNCLASS,Low,0.05,0.0SDs
#UNCLASS,Low,0.04,0.0SDs
#UNCLASS,Low,0.1,0.0SDs
#UNCLASS,Low,0.06,0.0SDs
#UNCLASS,Low,0.03,-0.1SDs
#UNCLASS,Low,0.07,0.0SDs
#UNCLASS,Low,0.06,0.0SDs
#UNCLASS,Low,0.11,0.0SDs
#UNCLASS,Low,0.03,-0.1SDs
#UNCLASS,Low,0.03,0.0SDs
#UNCLASS,Low,0.06,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.09,0.0SDs
#UNCLASS,Low,0.09,0.0SDs
#UNCLASS,Low,0.05,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.05,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.01,-0.1SDs
#UNCLASS,Low,0.11,0.0SDs
#UNCLASS,Low,0.07,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.1,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.12,0.0SDs
#UNCLASS,Low,0.07,0.0SDs
#UNCLASS,Low,0.13,+0.1SDs
#UNCLASS,Low,0.13,+0.1SDs
#UNCLASS,Low,0.06,0.0SDs
#UNCLASS,Low,0.09,0.0SDs
#UNCLASS,Low,0.04,0.0SDs
#UNCLASS,Low,0.07,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.12,0.0SDs
#UNCLASS,Low,0.05,0.0SDs
#UNCLASS,Low,0.1,0.0SDs
#UNCLASS,Low,0.13,+0.1SDs
#UNCLASS,Low,0.0,-0.1SDs
#UNCLASS,Low,0.12,0.0SDs
#UNCLASS,Low,0.09,0.0SDs
#UNCLASS,Low,0.03,0.0SDs
#UNCLASS,Low,0.11,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.06,0.0SDs
#UNCLASS,Low,0.06,0.0SDs
#UNCLASS,Low,0.08,0.0SDs
#UNCLASS,Low,0.05,0.0SDs
#UNCLASS,Low,0.1,0.0SDs
#UNCLASS,Low,0.09,0.0SDs
#UNCLASS,Low,0.04,0.0SDs
#UNCLASS,Low,0.11,0.0SDs
#UNCLASS,Low,0.14,+0.1SDs
#UNCLASS,Low,0.05,0.0SDs
%UNCLASS,Low,2.22,+0.1SDs
%UNCLASS,Low,2.84,+0.7SDs
%UNCLASS,Low,3.32,+1.2SDs
%UNCLASS,Low,1.25,-0.9SDs
%UNCLASS,Low,2.31,+0.2SDs
%UNCLASS,Low,2.1,0.0SDs
%UNCLASS,Low,1.33,-0.8SDs
%UNCLASS,Low,0.97,-1.2SDs
%UNCLASS,Low,2.6,+0.5SDs
%UNCLASS,Low,1.58,-0.5SDs
%UNCLASS,Low,0.68,-1.4SDs
%UNCLASS,Low,1.87,-0.3SDs
%UNCLASS,Low,1.57,-0.6SDs
%UNCLASS,Low,3.06,+0.9SDs
%UNCLASS,Low,0.69,-1.4SDs
%UNCLASS,Low,0.79,-1.3SDs
%UNCLASS,Low,1.7,-0.4SDs
%UNCLASS,Low,2.23,+0.1SDs
%UNCLASS,Low,2.5,+0.4SDs
%UNCLASS,Low,2.54,+0.4SDs
%UNCLASS,Low,1.28,-0.8SDs
%UNCLASS,Low,2.36,+0.2SDs
%UNCLASS,Low,1.31,-0.8SDs
%UNCLASS,Low,2.05,-0.1SDs
%UNCLASS,Low,0.33,-1.8SDs
%UNCLASS,Low,2.94,+0.8SDs
%UNCLASS,Low,1.91,-0.2SDs
%UNCLASS,Low,2.35,+0.2SDs
%UNCLASS,Low,2.77,+0.6SDs
%UNCLASS,Low,2.11,0.0SDs
%UNCLASS,Low,3.15,+1.0SDs
%UNCLASS,Low,1.95,-0.2SDs
%UNCLASS,Low,3.53,+1.4SDs
%UNCLASS,Low,3.5,+1.4SDs
%UNCLASS,Low,1.61,-0.5SDs
%UNCLASS,Low,2.58,+0.4SDs
%UNCLASS,Low,1.24,-0.9SDs
%UNCLASS,Low,1.74,-0.4SDs
%UNCLASS,Low,2.23,+0.1SDs
%UNCLASS,Low,3.33,+1.2SDs
%UNCLASS,Low,1.48,-0.6SDs
%UNCLASS,Low,2.8,+0.7SDs
%UNCLASS,Low,3.41,+1.3SDs
%UNCLASS,Low,0.0,-2.1SDs
%UNCLASS,Low,3.26,+1.1SDs
%UNCLASS,Low,2.29,+0.2SDs
%UNCLASS,Low,0.96,-1.2SDs
%UNCLASS,Low,2.91,+0.8SDs
%UNCLASS,Low,2.14,0.0SDs
%UNCLASS,Low,1.74,-0.4SDs
%UNCLASS,Low,1.48,-0.6SDs
%UNCLASS,Low,2.28,+0.2SDs
%UNCLASS,Low,1.36,-0.8SDs
%UNCLASS,Low,2.68,+0.6SDs
%UNCLASS,Low,2.47,+0.3SDs
%UNCLASS,Low,1.03,-1.1SDs
%UNCLASS,Low,2.94,+0.8SDs
%UNCLASS,Low,4.0,+1.9SDs
%UNCLASS,Low,1.27,-0.9SDs
%MONO,Low,3.6,+0.3SDs
%MONO,Low,3.65,+0.3SDs
%MONO,Low,5.42,+1.7SDs
%MONO,Low,2.97,-0.2SDs
%MONO,Low,4.2,+0.8SDs
%MONO,Low,1.4,-1.4SDs
%MONO,Low,1.81,-1.1SDs
%MONO,Low,4.44,+1.0SDs
%MONO,Low,2.17,-0.8SDs
%MONO,Low,4.04,+0.6SDs
%MONO,Low,4.22,+0.8SDs
%MONO,Low,5.18,+1.5SDs
%MONO,Low,2.06,-0.9SDs
%MONO,Low,3.35,+0.1SDs
%MONO,Low,2.25,-0.8SDs
%MONO,Low,3.41,+0.1SDs
%MONO,Low,4.16,+0.7SDs
%MONO,Low,2.28,-0.8SDs
%MONO,Low,3.28,0.0SDs
%MONO,Low,4.2,+0.8SDs
%MONO,Low,3.72,+0.4SDs
%MONO,Low,4.11,+0.7SDs
%MONO,Low,4.95,+1.4SDs
%MONO,Low,3.93,+0.6SDs
%MONO,Low,3.9,+0.5SDs
%MONO,Low,3.17,0.0SDs
%MONO,Low,4.86,+1.3SDs
%MONO,Low,3.68,+0.4SDs
%MONO,Low,2.44,-0.6SDs
%MONO,Low,1.57,-1.3SDs
%MONO,Low,2.62,-0.5SDs
%MONO,Low,2.91,-0.3SDs
%MONO,Low,4.89,+1.3SDs
%MONO,Low,5.03,+1.4SDs
%MONO,Low,4.59,+1.1SDs
%MONO,Low,5.17,+1.5SDs
%MONO,Low,3.5,+0.2SDs
%MONO,Low,1.69,-1.2SDs
%MONO,Low,3.19,0.0SDs
%MONO,Low,4.68,+1.2SDs
%MONO,Low,4.69,+1.2SDs
%MONO,Low,4.34,+0.9SDs
%MONO,Low,4.34,+0.9SDs
%MONO,Low,2.72,-0.4SDs
%MONO,Low,3.16,-0.1SDs
%MONO,Low,1.8,-1.1SDs
%MONO,Low,5.13,+1.5SDs
%MONO,Low,3.12,-0.1SDs
%MONO,Low,4.92,+1.3SDs
%MONO,Low,4.98,+1.4SDs
%MONO,Low,2.58,-0.5SDs
%MONO,Low,3.78,+0.4SDs
%MONO,Low,2.18,-0.8SDs
%MONO,Low,3.79,+0.4SDs
%MONO,Low,1.22,-1.6SDs
%MONO,Low,2.05,-0.9SDs
%MONO,Low,3.44,+0.2SDs
%MONO,Low,4.87,+1.3SDs
%MONO,Low,1.68,-1.2SDs
WBC,Low,3.67,+0.4SDs
WBC,Low,3.76,+1.1SDs
WBC,Low,3.78,+1.4SDs
WBC,Low,3.68,+0.4SDs
WBC,Low,3.66,+0.3SDs
WBC,Low,3.47,-1.4SDs
WBC,Low,3.55,-0.7SDs
WBC,Low,3.7,+0.6SDs
WBC,Low,3.8,+1.5SDs
WBC,Low,3.56,-0.6SDs
WBC,Low,3.74,+1.0SDs
WBC,Low,3.75,+1.1SDs
WBC,Low,3.72,+0.8SDs
WBC,Low,3.74,+1.0SDs
WBC,Low,3.81,+1.6SDs
WBC,Low,3.64,+0.1SDs
WBC,Low,3.47,-1.5SDs
WBC,Low,3.59,-0.4SDs
WBC,Low,3.77,+1.3SDs
WBC,Low,3.66,+0.2SDs
WBC,Low,3.65,+0.2SDs
WBC,Low,3.42,-1.9SDs
WBC,Low,3.72,+0.8SDs
WBC,Low,3.78,+1.4SDs
WBC,Low,3.56,-0.7SDs
WBC,Low,3.65,+0.1SDs
WBC,Low,3.57,-0.6SDs
WBC,Low,3.6,-0.3SDs
WBC,Low,3.59,-0.4SDs
WBC,Low,3.62,-0.1SDs
WBC,Low,3.67,+0.4SDs
WBC,Low,3.68,+0.4SDs
WBC,Low,3.7,+0.6SDs
WBC,Low,3.77,+1.2SDs
WBC,Low,3.73,+0.9SDs
WBC,Low,3.6,-0.3SDs
WBC,Low,3.56,-0.6SDs
WBC,Low,3.81,+1.7SDs
WBC,Low,3.77,+1.3SDs
WBC,Low,3.74,+1.0SDs
WBC,Low,3.46,-1.6SDs
WBC,Low,3.67,+0.3SDs
